"","Variable Name","Number Missing","Percentage Missing","Label","Type","Class","Levels","Source"
"1","id",0,0,"Respondent sequence number","integer","numeric, integer",NA,"NHANES data set"
"2","drop_flag",0,0,"Flag for exclusion: age < 20, cancer history, taking insulin or other glucose lowering medications, or lack of exposure or outcome variable","logical","logical","'TRUE', 'FALSE'","Calculated from NHANES data"
"3","collection_cycle",0,0,"Data release cycle","integer","factor","'NHANES 2017-2020 public release'","NHANES data set"
"4","collection_lang",0,0,"Language of SP Interview","integer","factor","'English', 'Spanish'","NHANES data set"
"5","cholesterol_rx_ever",0,0,"Told to take prescriptn for cholesterol","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"6","adherence",0,0,"Now taking prescribed medicine","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"7","cancer_ever",1,0.0856,"Ever told you had cancer or malignancy","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"8","rx_glucose_lowering",503,43.0651,"RX: Subject reported insulin or other glucose-lowering medication","logical","logical","'TRUE', 'FALSE'","Calculated from RX Data Supplement"
"9","cholesterol_ever",3,0.2568,"Doctor told you - high cholesterol level","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"10","cholesterol_check_ever",1024,87.6712,"Ever had blood cholesterol checked","logical","logical","'TRUE', 'FALSE'","NHANES data set"
"11","cholesterol_check_last",1,0.0856,"When blood cholesterol last checked","integer","factor","'Within 1 year', '1-2 years ago', '2-5 years ago', '5+ years ago'","NHANES data set"
"12","age",0,0,"Age (years)","integer","numeric, integer",NA,"Significantly modified from NHANES data by Teaching Team"
"13","sex",0,0,"Sex (Male/Female)","integer","factor","'Male', 'Female'","Significantly modified from NHANES data by Teaching Team"
"14","race_ethn_4cat",0,0,"Race/Hispanic origin without Non-Hispanic Asian","integer","factor","'Hispanic', 'Non-Hispanic White', 'Non-Hispanic Black', 'Other Race (including multiracial)'","Calculated from NHANES data"
"15","race_ethn_5cat",0,0,"Race/Hispanic origin with Non-Hispanic Asian","integer","factor","'Hispanic', 'Non-Hispanic White', 'Non-Hispanic Black', 'Non-Hispanic Asian', 'Other Race (including multiracial)'","Calculated from NHANES data"
"16","race_5cat",0,0,"Race from RIDRETH1","integer","factor","'Mexican American', 'Other Hispanic', 'Non-Hispanic White', 'Non-Hispanic Black', 'Other Race (including multiracial)'","Significantly modified from NHANES data by Teaching Team"
"17","race_6cat",0,0,"Race/Hispanic origin w/ NH Asian","integer","factor","'Mexican American', 'Other Hispanic', 'Non-Hispanic White', 'Non-Hispanic Black', 'Non-Hispanic Asian', 'Other Race (including multiracial)'","NHANES data set"
"18","marital_status",0,0,"Marital status","integer","factor","'Married/Living with Partner', 'Widowed/Divorced/Separated', 'Never Married'","NHANES data set"
"19","educ_level",1,0.0856,"Educational level","integer","factor","'Less than 9th grade', '9th-11th grade', 'HS graduate or GED', 'Some college or AA degree', 'College graduate or above'","NHANES data set"
"20","occupation_type_week",0,0,"Type of work done last week","integer","factor","'Employed and working', 'Employed, but not working', 'Seeking work', 'Unemployed'","NHANES data set"
"21","accult_birth_country",0,0,"Country of birth","integer","factor","'Born in the 50 US states or Washington, DC', 'Others'","NHANES data set"
"22","accult_time_usa",882,75.5137,"Acculturation time in the US","integer","factor","'Less than 5 years', '5+ but < 15 years', '15 but < 30 years', '30+ years'","NHANES data set"
"23","income_ratio",0,0,"Family monthly poverty level index","double","numeric, float",NA,"NHANES data set"
"24","income_cat",0,0,"Family monthly poverty level category","integer","factor","'Less than or equal to 135% of FPL', 'Between 135 and 185% of FPL', 'Greater than 185% FPL'","NHANES data set"
"25","ins_dichot",95,8.1336,"INSURANCE: Subject reported any form of health insurance?","logical","logical","'TRUE', 'FALSE'","Significantly modified from NHANES data"
